path,primary_category_heuristic,lines,utf8_bytes,sha256
.agents/agents/csharp-quality-orchestrator.md,A Core Agent Instruction,14,662,759787a5e3b2ad30f2473e8cde0b4e6f437ffe328e89aa8f42da5082fc42611e
.agents/agents/roslyn-rule-implementer.md,A Core Agent Instruction,14,721,d0834374bc3c3784054e190d0ddeb8fe2d48e60f8438a19cb37c489478f08a83
.agents/agents/runtime-evidence-reviewer.md,A Core Agent Instruction,14,633,619a90ff23864bf5a31820d4f41673bf42b7ff03cf2e3c0b67f9ead0584a81ac
.agents/agents/shader-performance-auditor.md,A Core Agent Instruction,15,871,6c3f1523c075716d57a1a22fc5271e327e56662d6d2261ef35563276022d54ae
.agents/agents/shader-performance-optimizer.md,A Core Agent Instruction,23,878,9c9dc16e6d47b58c63dd657fb576dde9b8a8ea1c8a776acc4862da1cae704189
.agents/agents/shader-performance-orchestrator.md,A Core Agent Instruction,25,623,21b05fb8b1ac2d2175ae5ff0925c7b14d0ba059caf0300372404daa983b02fb8
.agents/agents/shader-runtime-evidence-reviewer.md,A Core Agent Instruction,14,822,4037dcbf89fee2edc418f701b26bbb664c99e6f5732a2bb0f4be8e9a99297681
.agents/agents/unity-csharp-reviewer.md,A Core Agent Instruction,13,708,86b014a54f8ae00a171a68fe2c76dad1eb9de2db95f0462c40237dce3610fcb4
.agents/agents/unity-shader-variant-governor.md,A Core Agent Instruction,19,926,a736e9cefd127ffc9ad3b141564475baf45e9108f684b8dca4a3c270ea9d53ab
.agents/skills/comment-quality-reviewer/SKILL.md,C Workflow,68,2507,aedc23182abb3d8e2b13bdbca52fb8d016fb1cc54efa4956c40ea4ac200a81c3
.agents/skills/csharp-antipattern-audit/SKILL.md,C Workflow,72,2843,49faf1d8cbb7c492b90b85b6bdbb406f45246e94052a5f3106cc8ef5edb05c4f
.agents/skills/csharp-safe-patch/SKILL.md,C Workflow,116,6975,3bceca2666ef9f5cb880ac627c1b7709fb864a2c1e313797a1dbdea806c6da15
.agents/skills/learning-code-comments/SKILL.md,C Workflow,73,2764,db03e22897f6f76da23f171d63b186acfc72bf67d5e0e45158eee7bd8b9079b0
.agents/skills/production-code-comments/SKILL.md,C Workflow,70,2677,e1caef21f96bef5baf5df771286de803a973e51c663aa8646f9a8005bc1c0a4f
.agents/skills/shader-performance-auditor/SKILL.md,C Workflow,85,3432,7cfe2d27355bce9d19c2d461aa906e0fa52395f4d0f72d4b42f5b603e1e75e1c
.agents/skills/shader-performance-refactor/SKILL.md,C Workflow,82,2948,d34d54514a32cab520801303ee57457f0c7039929f421dd02c7e43e340f91587
.agents/skills/shader-runtime-evidence/SKILL.md,C Workflow,77,3021,ef890f901daf6bfa074fa5fe1cf1ad1e44fc9731c38d405f1548980c7ed2f497
.agents/skills/unity-architecture-design/SKILL.md,C Workflow,326,12387,8870576449d0c212909e72a2b8873f77912314fd9dbe45a3cd5673ddd481de42
.agents/skills/unity-coding-standards/SKILL.md,C Workflow,28,2765,2284161452deb6fe33ad26c7a6a037b0e2ddacbea01b396d4133cf2572fc815f
.agents/skills/unity-doubt-review/SKILL.md,C Workflow,159,6327,6c63b8ff97e0f38996a791bbbbbb92432761ebf531c403453563be1a0bea9c83
.agents/skills/unity-fix-errors/SKILL.md,C Workflow,14,814,c2f00e023ca5277252acfe9f947b4bb63d68c88fecece650d60c37f7dfbac8a7
.agents/skills/unity-implement/SKILL.md,C Workflow,251,12464,70831de152bb2fff563d2956ab115cc4ee30a160537da0d40ed9d20457a41565
.agents/skills/unity-incident-investigation/SKILL.md,C Workflow,246,9744,e865938ff7ae5b25e6a8a4262110e4d4845355f0c826200233392cadbad26188
.agents/skills/unity-japanese-comments/SKILL.md,C Workflow,11,454,1137eb0ac605876d33776e0000405960c86add6fe5122a6d0792bcaf2b0afffc
.agents/skills/unity-plan/SKILL.md,C Workflow,188,6545,b684ebbb56a76ebdcd06e4ac5c14f6040192fc0f1060e155a5b1f7d245060da2
.agents/skills/unity-rendering/SKILL.md,C Workflow,250,11458,2c1e05485896e7cdf73765a42ebee8ecb23c1274a00dc411342afb90aa19dab7
.agents/skills/unity-review/SKILL.md,C Workflow,174,5482,1ab5c216b086ed73bf49166b74a13fe2baf0ef28743cfaa4d015d113d18cd0df
.agents/skills/unity-runtime-evidence/SKILL.md,C Workflow,78,2773,dc7e0c9207030de55e2bdf209e7e670733bb9d5af137446c1a37ecf99549a16e
.agents/skills/unity-shader-variant-governor/SKILL.md,C Workflow,72,3143,256e6b20969801123e528c72eebdc524397ff2c67333ceaa91d0c5bbece394d2
.agents/skills/unity-specify/SKILL.md,C Workflow,160,6328,4efe3a3f163b9ff620abcbd8ca4b4069e53045b327c1b902f5fef8ef9c061aff
.agents/skills/unity-tasks/SKILL.md,C Workflow,172,4605,bfbf0b8d4117b857883e9a4acbe265b86a802365e935a7c2417783b45f06ae56
.agents/skills/unity-visual-direction/SKILL.md,C Workflow,219,8123,10619f73a33d3aee4a48587cd5d7708c7b191dc461b4b5ad49235a8e97f57f82
.github/ProductionSmoke/run_one_repo_smoke.py,B Domain Knowledge,621,28478,244c8c8e35ac2fc5cf86f4d58a2df4ecc41330eb56c802312d669a636b99e30f
.github/ProductionSmoke/test_one_repo_production_smoke.py,B Domain Knowledge,203,8347,8c6a1c3b28f5a0c4fbf60d58482707f28b43be3fb868346ec9d801eda71d36a3
.github/workflows/actual-behavior-eval.yml,B Domain Knowledge,37,1422,378aa3e43146134024495bbff74be2a99d51af2731926b63c7d784e3a21592d9
.github/workflows/baseline-regression-gate.yml,B Domain Knowledge,151,5383,084477d5a5e2456f08f34c0d59bb583ac74cadcd9efdd08f3085c9fea8148552
.github/workflows/production-smoke.yml,B Domain Knowledge,137,4482,51e70373e5a22b04955537adc0fa78a2707153ca7c9e29477fbfffe6abfef8a7
.github/workflows/validate-agent-contracts.yml,B Domain Knowledge,55,1331,784906141b315fc51e191f5252fde4c00db73596b92d0d818e7aa2c24702151b
.github/workflows/validate-canonical-contracts.yml,B Domain Knowledge,38,1182,cfdf93679c67bc1a641778d6d19f2ed80c61a65f67be4d3452a5e5002e83ef38
.github/workflows/validate-eval.yml,B Domain Knowledge,103,3956,879399b2d534f61048e3876d2638420c044cef23f11252e4030e110ceb41fb81
.github/workflows/validate-operations.yml,B Domain Knowledge,47,1469,11535a439187456b71807859845091580bd0b47baaadeeee8b31c93e4eb2d46a
.github/workflows/validate-orchestration.yml,B Domain Knowledge,35,1143,e52f34822277a03e8aefd1b364bea8481ddf0aa444c64652a747eb1102991a9a
.github/workflows/validate-persistence.yml,B Domain Knowledge,39,1389,f6c4fc88ab9eab29bac099a59bad00fa394a942e837bb56b38aef6367131c339
.github/workflows/validate-policy-context.yml,B Domain Knowledge,47,1457,207ccb1f3f6a489732a7fcd7a5bfb4559fb6cf01da64de65dc48cd3b4dfb9583
.github/workflows/validate-production-smoke.yml,B Domain Knowledge,79,3074,c21ad252685794604df84f82d9a685986f9691e454e33c133a6faf1f45297f15
.github/workflows/validate-production-tool-runtime.yml,B Domain Knowledge,48,1598,684d658fbba587744336b04d2f32f17c94757f71bdd4a7f0597024d464b1f75c
.github/workflows/validate-runtime-harness.yml,B Domain Knowledge,31,920,9934ed22c30b1ad9bfa0e4033cb233aab3b580d312550cb1d55bc47b349a8fc6
AGENTS.md,A Core Agent Instruction,110,13447,d9c82bfc4bf65c970828319975098eaff510d447e80b001d7c005c46cab3189a
Context/Assembly/materialize_context.py,C Workflow,376,15185,76ede1a70458705c531f2b48e81e09933e5555a09f7caee7d13d04032f3c9e18
Context/Budget/budget_runtime.py,C Workflow,64,2389,c5eb22da801f431ea8ba8730cae5dbce5906f10e7e65770461cf97fd6214d700
Context/Budget/context-budget.yaml,C Workflow,212,6098,4228ce0722d28e65dd386c90263e666785ed1d1723be6b91bb4b0d5e95dde5f6
Context/Compression/compression-policy.yaml,C Workflow,23,556,31bd8646ceeb1e661ee22de9c05c6b44e5d50bc2d6668f1b2254b29d1c4fd7bf
Context/Contracts/context-fingerprint.schema.yaml,C Workflow,19,641,746e5fd0e0db88025fa26014c83d60248f4456ac8a0f7254c452cf2ee3d23eba
Context/Contracts/context-pack.schema.yaml,C Workflow,91,2386,d431155f3472acf98fd9570015cad4788ce7d1ddc73813a4f289d16f5bebaaaf
Context/Contracts/materialized-context-view.schema.yaml,C Workflow,135,4193,1bb993c96ae4a972238555323c347ee808319b91e6a60947bdfd2ddac7df02ef
Context/Contracts/memory-projection.schema.yaml,C Workflow,18,625,e479d9b163182fde4d902efc740643be46e58b22b2b06ed38920fe4f332c6e3d
Context/Contracts/project-fact-observation.schema.yaml,C Workflow,37,1242,4c6f5f330c972cddd3bf258ce88bd40f89c8e36f6ccab9353ebbc10d66f14efe
